f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;f17;f18;f19;f20;f21;f22;f23;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f35;f36;f37;f38;f39;f40;f41;f42;f43;f44;f45;f46;f47;f48;f49;f50;f51;f52;f53;f54;f55;f56;f57;label
33.05;36.17;32.55;34.29;22.65;21.92;38.58;28.84;44.38;9.24;20.81;45.44;31.48;27.13;38.81;18.8;38.94;22.99;27.07;29.15;46.07;14.14;20.98;26.66;24.54;38.49;20.21;35.48;19.53;36.37;61.62;25.3;0.0;16.49;31.82;33.18;36.99;38.01;43.4;24.4;44.41;31.61;0.0;41.96;22.69;22.03;23.16;10.45;19.76;29.41;30.46;38.44;1.04;24.84;34.27;27.51;36.5;0
29.77;14.95;28.59;34.41;19.26;23.4;28.84;11.76;31.71;18.46;30.17;17.93;31.06;16.05;18.93;31.69;40.01;25.85;32.53;28.4;22.1;26.91;23.69;28.58;21.18;53.56;16.16;36.37;17.91;16.6;45.4;20.14;28.63;58.98;47.67;20.4;41.48;39.57;19.87;12.71;35.54;34.93;49.19;34.36;49.14;51.05;55.77;19.4;50.12;14.08;28.27;41.12;24.92;21.63;40.67;25.01;25.09;0
77.07;41.21;69.77;56.84;57.77;56.0;62.55;35.3;42.89;33.26;38.33;35.97;63.12;35.45;42.62;49.96;63.46;61.11;51.24;29.0;60.25;59.51;45.98;46.9;49.4;50.74;61.95;52.71;69.46;48.25;31.39;27.5;21.96;33.13;19.15;34.36;29.62;27.68;17.62;40.16;46.09;43.71;28.76;25.83;43.4;46.24;31.85;37.81;37.99;33.09;30.06;39.76;43.79;31.48;36.16;26.35;48.3;1
76.87;27.74;75.12;40.73;42.85;46.3;49.62;32.31;50.08;41.35;42.97;42.9;68.79;35.55;35.56;47.03;59.47;23.5;60.42;55.54;59.73;47.41;43.22;58.15;38.68;43.3;50.02;53.03;52.66;32.66;23.13;12.3;26.99;55.42;45.32;35.44;47.23;26.52;58.21;37.46;49.13;37.1;26.02;37.63;31.15;37.31;38.69;31.85;35.7;54.42;34.16;38.3;24.84;22.16;45.08;24.62;24.38;1
37.89;27.02;37.52;28.36;21.39;24.09;25.79;8.4;16.01;13.6;28.4;20.34;35.47;19.86;0.0;27.38;35.18;16.23;27.29;30.78;20.07;14.55;22.55;44.77;27.62;9.2;23.47;26.6;16.47;36.29;47.41;31.08;45.77;39.53;43.13;36.07;35.52;32.51;49.73;38.01;32.54;38.38;38.61;40.19;47.19;25.07;30.21;33.54;37.74;39.59;39.79;37.05;35.31;27.97;27.53;27.9;48.76;0
34.38;1.98;43.04;8.48;8.91;38.73;33.41;17.86;26.32;39.98;18.5;29.0;39.96;27.12;11.24;22.54;35.72;31.58;32.14;20.34;29.5;22.74;0.0;15.26;23.18;34.17;28.05;30.17;10.27;13.54;36.77;23.42;26.53;41.55;34.26;43.35;34.7;29.79;50.27;34.96;50.66;38.6;33.89;38.44;45.37;24.46;43.43;32.82;36.47;36.8;39.31;57.65;39.3;41.63;29.86;32.37;6.76;0
40.24;7.16;34.56;37.37;14.38;12.74;15.5;11.67;17.19;15.97;16.56;21.68;38.33;17.35;27.05;11.35;54.04;26.74;26.24;30.93;0.0;34.13;50.73;22.87;29.49;36.52;20.67;34.44;27.7;19.43;47.27;27.14;23.59;32.03;27.07;32.02;33.1;39.32;36.71;37.12;15.67;28.43;27.67;32.88;13.42;27.66;26.94;11.75;45.77;26.01;49.93;30.85;41.16;27.74;39.61;31.74;26.81;0
28.48;0.0;53.6;38.22;20.42;17.25;22.41;14.29;30.07;27.79;13.78;25.01;39.5;3.29;35.9;22.68;36.85;26.31;27.71;31.06;26.36;30.88;34.66;27.06;30.26;32.7;17.49;35.13;30.49;25.57;41.03;27.55;15.77;28.18;38.0;22.8;39.45;38.95;28.7;17.2;15.58;37.14;25.06;36.91;29.56;40.02;26.28;16.09;46.31;21.27;39.31;66.57;22.39;16.62;44.26;16.66;13.89;0
35.14;25.76;28.0;17.92;6.0;36.04;35.23;36.38;28.63;32.9;30.06;26.72;30.4;5.38;26.57;15.55;33.46;13.08;37.66;34.13;21.3;35.74;31.18;33.31;27.9;35.0;20.85;33.61;6.86;22.09;56.69;30.69;41.61;38.01;49.52;16.07;35.94;41.82;27.01;28.16;32.12;35.4;33.07;24.08;39.12;37.93;33.79;32.23;27.89;29.21;34.37;28.84;15.06;19.21;34.82;14.73;42.28;0
55.1;34.9;38.23;37.16;55.99;56.42;57.17;37.26;25.73;36.37;52.75;44.87;77.03;42.24;63.31;41.86;69.62;65.12;52.11;40.49;43.82;53.02;42.25;35.87;47.05;68.03;88.42;62.69;57.99;42.17;68.35;24.77;30.38;41.65;25.46;47.47;35.23;24.81;31.82;30.16;39.87;33.96;34.31;34.95;51.77;33.11;20.6;35.61;43.12;41.92;43.41;28.88;26.29;31.22;49.49;28.19;45.67;1
57.08;42.5;68.23;76.89;37.14;57.15;47.84;56.28;58.83;33.13;38.81;11.07;68.24;35.41;41.27;63.3;59.9;37.12;59.54;41.13;46.34;35.03;44.62;38.36;36.57;66.55;57.76;69.91;56.94;57.97;48.79;26.17;20.44;50.87;44.64;27.2;46.92;26.94;22.85;43.2;29.74;20.13;38.06;44.37;48.69;28.45;40.11;19.87;40.05;29.28;27.44;31.7;0.13;37.24;36.64;14.43;60.19;1
52.23;46.62;62.85;29.58;42.8;64.5;53.94;11.89;49.51;26.2;58.86;42.61;70.06;32.23;60.54;45.57;50.96;51.17;52.83;46.21;61.8;53.54;23.32;75.5;39.98;71.51;37.3;38.18;65.66;25.0;53.88;28.15;36.42;33.81;51.08;28.95;42.95;32.29;24.77;15.06;34.68;30.56;27.79;40.78;47.33;35.41;21.81;30.93;48.29;30.51;39.9;37.23;30.19;24.01;24.03;24.43;47.24;1
87.73;47.22;70.24;49.3;48.73;38.27;56.65;36.82;35.77;70.06;50.75;72.86;55.56;52.02;43.39;36.66;58.76;39.63;52.97;51.93;52.65;40.8;60.89;63.4;66.14;81.68;19.46;64.03;51.06;57.47;58.33;33.33;16.86;47.61;42.06;62.93;43.25;18.5;59.59;15.36;37.78;37.75;34.11;40.65;54.74;28.09;34.68;34.61;36.33;31.11;43.31;49.25;23.24;22.14;29.37;25.32;38.96;1
99.24;32.15;57.71;77.79;49.66;50.6;58.64;49.32;43.66;45.72;46.44;51.53;62.55;29.49;39.5;45.36;46.48;56.98;57.26;31.27;60.61;73.41;34.74;54.54;46.46;59.31;57.0;61.9;68.03;31.41;53.22;32.52;18.2;30.79;41.01;19.01;31.75;36.65;40.98;31.41;25.27;26.64;35.79;40.8;46.56;42.32;33.64;40.54;35.69;41.63;38.21;45.75;30.01;36.07;41.82;34.48;24.23;1
38.51;12.3;29.89;21.48;33.75;25.0;16.91;25.87;39.22;33.22;18.12;27.58;29.42;5.14;24.41;21.42;41.94;35.54;31.46;30.61;38.91;14.57;36.71;27.43;20.17;28.0;16.94;50.17;30.52;32.42;62.28;33.62;30.56;25.7;49.16;39.4;31.08;34.21;16.39;29.17;42.4;46.04;54.11;33.98;27.67;42.71;16.37;38.23;45.01;18.8;41.97;36.09;40.23;21.8;39.6;28.86;53.86;0
52.58;45.03;45.89;66.95;50.16;49.73;46.48;33.9;20.5;54.66;48.49;42.41;50.71;40.46;38.19;47.62;41.05;44.33;53.96;44.21;46.43;53.06;46.68;55.19;37.73;62.03;10.75;55.03;44.34;27.82;30.1;9.14;10.07;43.19;36.17;47.53;42.38;42.1;25.24;40.84;39.3;39.66;14.42;38.05;16.76;23.71;32.27;23.41;35.02;28.08;36.36;47.36;13.23;28.86;42.06;16.06;14.59;1
42.08;36.07;48.13;57.62;55.71;37.58;57.42;39.86;55.13;9.42;49.51;37.62;53.6;45.01;39.36;39.38;62.59;59.6;76.61;48.02;60.05;30.98;24.09;48.33;47.88;81.02;41.06;70.16;58.99;45.04;51.45;14.08;9.67;62.31;27.0;28.33;31.24;38.33;35.42;25.99;33.67;24.93;13.15;29.84;17.98;31.68;31.27;53.66;49.52;28.66;40.18;78.45;38.36;19.33;27.47;23.01;57.71;1
19.18;47.32;45.07;33.51;13.75;7.57;17.04;22.37;29.67;14.82;23.06;33.74;48.66;22.04;8.56;23.55;29.78;33.81;21.45;24.5;17.98;9.02;10.23;25.88;16.31;38.98;31.44;34.29;33.71;24.35;62.57;43.91;24.58;49.39;57.5;29.33;40.53;36.75;39.95;21.69;68.91;29.02;49.79;28.49;30.18;39.25;20.69;33.29;34.59;24.29;30.32;32.72;9.31;47.47;21.27;26.19;14.45;0
31.72;20.52;33.97;36.03;29.81;33.42;23.53;22.08;28.72;19.99;18.48;17.1;39.86;33.08;28.86;13.03;31.97;33.53;34.1;28.83;52.46;24.06;8.24;25.14;19.9;37.65;25.86;21.53;24.75;36.47;16.74;25.9;28.68;29.83;55.66;12.94;42.92;32.01;13.95;34.87;25.18;24.85;50.23;42.24;49.41;50.15;11.78;33.38;38.88;26.25;38.06;31.94;52.25;19.01;42.45;20.41;57.78;0
61.2;62.31;50.32;24.22;53.63;48.68;39.27;49.32;65.49;29.97;34.65;34.66;62.73;58.84;49.64;50.36;64.28;36.59;67.07;27.19;52.96;34.18;43.02;50.92;46.59;57.34;35.2;59.95;57.41;43.74;45.14;37.86;21.02;40.24;36.34;36.52;35.57;35.79;32.63;24.05;28.29;30.46;51.94;42.77;38.44;34.2;41.7;45.84;53.74;24.38;27.98;51.1;42.78;36.15;48.37;17.21;47.49;1
72.35;32.74;48.98;48.27;42.12;42.81;47.19;37.66;40.35;35.68;54.2;55.18;80.45;45.17;42.97;32.91;61.75;39.0;56.0;32.05;49.36;44.49;38.75;32.95;34.9;63.04;46.05;60.92;52.04;50.28;37.33;25.37;23.5;46.55;38.01;30.51;48.79;45.7;22.78;23.04;52.35;40.05;40.68;32.38;53.81;48.38;53.15;15.32;34.96;38.75;41.87;61.06;39.37;36.63;31.83;31.66;31.16;1
26.8;1.35;29.27;45.15;16.56;23.71;13.06;34.26;33.45;25.97;36.11;27.66;38.32;30.77;16.64;16.46;15.45;23.06;17.28;39.31;38.12;26.16;3.97;32.88;30.23;20.08;20.74;33.6;36.98;26.97;29.61;17.38;34.02;31.73;61.71;39.37;38.58;34.31;31.09;23.79;30.08;45.01;44.76;40.76;28.51;32.44;19.5;34.73;45.38;19.92;40.56;34.78;13.65;18.37;32.44;20.08;5.35;0
28.83;16.35;34.32;26.7;24.02;18.0;34.44;23.72;33.82;22.29;17.04;13.86;44.86;19.4;37.85;26.39;24.44;12.12;32.17;30.95;28.89;30.86;33.87;18.9;28.35;35.74;21.88;47.94;55.17;21.72;38.81;0.94;15.55;43.43;18.3;21.7;29.1;28.37;56.22;42.79;41.27;27.32;37.46;28.83;33.63;45.07;36.39;22.83;45.23;26.82;31.64;42.66;22.08;35.23;25.44;25.8;43.97;0
42.38;4.85;25.99;26.74;13.56;22.23;29.01;19.08;26.53;33.31;16.01;37.12;34.41;25.47;10.01;20.82;26.1;23.34;58.36;21.96;26.83;26.77;7.02;31.52;36.34;53.0;21.02;44.2;31.57;29.74;32.69;3.64;0.0;18.82;34.43;52.52;36.24;33.0;38.81;35.45;28.7;39.22;37.59;32.96;54.62;45.08;32.57;26.96;45.25;6.0;22.84;29.35;34.78;22.28;47.81;26.45;26.8;0
28.0;20.69;39.07;47.15;24.21;11.8;30.27;17.61;25.86;17.72;42.24;36.7;26.62;24.78;37.26;25.04;42.57;24.09;37.4;20.34;38.02;19.54;0.0;23.41;16.39;33.52;22.01;38.79;34.18;24.71;26.85;55.07;39.11;8.47;29.04;17.53;39.57;39.35;44.51;24.76;40.3;33.55;35.38;46.03;42.04;47.79;30.75;23.05;38.21;18.52;29.49;32.77;16.74;29.99;32.29;25.04;11.7;0
39.42;11.19;41.09;23.83;18.13;43.13;28.48;21.24;30.96;19.31;10.63;30.21;36.34;12.13;9.65;25.52;46.39;18.2;35.0;11.06;15.45;25.94;15.47;21.86;30.17;19.53;22.7;44.67;15.44;13.77;44.55;47.5;7.15;31.01;41.79;44.67;29.31;37.72;21.82;43.24;19.84;35.49;31.31;43.49;45.27;41.66;22.34;30.7;56.27;50.24;34.71;47.1;30.29;19.63;30.51;38.1;38.67;0
33.1;0.0;40.91;33.33;26.2;30.0;39.18;17.01;35.65;12.51;21.12;30.65;34.05;41.49;14.19;20.58;17.59;31.01;16.82;22.36;16.53;22.36;6.84;36.28;36.97;46.64;22.21;39.01;49.1;28.87;51.52;40.91;14.32;43.47;30.46;39.76;39.86;37.47;43.13;33.2;29.61;35.18;40.4;18.74;39.6;53.7;20.37;12.9;45.59;24.64;33.53;22.84;2.72;31.4;30.4;24.44;41.89;0
78.9;42.54;51.17;56.01;49.48;40.14;51.17;47.89;62.64;34.28;62.54;46.78;72.8;26.65;33.49;32.09;56.47;34.9;58.98;56.99;56.91;46.02;27.64;81.81;44.61;82.0;40.02;64.89;73.56;63.81;60.0;45.21;4.53;58.74;58.63;50.63;44.09;34.18;36.55;22.81;45.68;25.17;59.02;33.1;39.52;39.38;27.83;31.4;36.69;76.0;26.85;42.13;19.08;29.56;41.46;28.53;43.61;1
78.71;26.93;57.59;46.9;49.74;52.69;35.05;44.08;41.03;20.5;56.35;51.24;77.01;54.34;37.61;51.93;52.81;35.31;58.75;37.75;53.49;59.51;35.49;51.92;49.1;70.41;82.88;69.98;62.77;42.3;51.36;27.19;29.91;16.75;32.35;28.36;31.93;34.42;46.84;30.4;47.14;35.83;14.35;45.9;7.84;23.29;12.42;17.07;35.41;21.06;41.37;35.25;30.97;29.13;34.35;20.77;35.14;1
30.6;0.65;45.36;54.08;8.64;15.69;41.27;34.0;29.69;21.87;25.88;29.54;28.68;30.8;26.25;28.81;27.42;30.02;14.73;25.18;9.88;25.82;4.2;23.8;29.52;27.77;25.21;36.82;19.78;30.7;39.34;15.94;33.96;47.51;27.16;54.78;36.26;41.34;6.05;38.1;36.64;38.62;35.26;42.56;28.76;34.71;19.7;50.65;34.52;50.26;38.47;35.91;33.19;14.62;29.71;20.28;46.87;0
40.19;30.54;40.4;28.18;20.31;9.15;8.7;17.14;29.83;17.93;6.55;11.62;29.34;27.13;8.22;16.06;20.66;14.49;41.21;16.96;45.84;31.87;18.61;11.09;23.87;25.84;18.16;37.94;42.59;36.91;58.99;32.86;46.22;35.57;23.63;32.81;46.54;30.37;42.27;20.51;34.14;23.91;41.06;37.71;50.06;21.81;21.73;33.21;46.49;34.01;34.66;10.9;3.38;30.96;31.5;32.71;44.41;0
59.95;46.62;60.91;55.93;41.56;40.02;60.15;29.49;51.69;45.04;64.98;13.87;71.9;32.46;52.37;50.45;54.53;47.93;62.94;42.7;64.54;50.2;47.9;53.91;56.78;77.7;50.15;67.27;52.81;40.08;43.78;28.39;47.01;40.19;37.32;10.09;36.94;28.47;17.33;31.75;30.02;26.78;38.42;47.77;37.14;39.45;33.09;11.89;47.06;26.9;37.71;52.56;0.0;18.65;31.37;33.07;21.7;1
56.66;43.66;78.0;47.9;48.34;52.66;43.5;31.53;46.23;50.92;59.27;37.55;69.69;44.29;40.68;43.72;52.49;49.87;70.52;56.08;74.62;76.57;20.79;49.41;45.49;72.05;23.0;54.85;58.09;52.08;36.09;18.73;42.58;34.69;14.29;38.49;35.64;28.46;0.0;16.98;38.84;30.14;29.58;28.24;44.91;13.85;10.84;8.8;41.22;34.76;34.38;68.72;20.78;23.3;35.99;20.34;44.92;1
77.58;42.17;57.48;57.67;49.14;61.97;59.36;44.43;70.56;50.26;25.97;42.16;61.21;49.45;48.27;44.33;72.08;36.35;63.77;41.97;52.76;48.38;44.94;51.46;41.38;81.44;72.38;62.32;62.55;38.69;55.23;23.97;27.61;24.5;44.84;38.68;41.28;34.97;39.14;42.17;28.52;37.25;29.76;38.08;26.35;42.84;30.08;18.7;37.93;48.42;20.68;39.76;18.82;24.52;39.72;34.36;29.08;1
73.12;41.32;64.7;36.42;49.51;49.43;47.09;44.33;39.69;41.05;57.1;19.34;86.47;49.52;65.27;50.05;66.65;41.36;43.8;48.6;57.26;70.03;43.62;39.69;55.96;58.74;35.66;61.82;58.19;45.06;62.96;16.04;30.61;28.45;58.17;44.47;29.99;26.02;23.16;24.48;47.67;40.35;40.98;48.02;38.08;45.08;21.03;29.25;24.49;40.79;43.08;23.35;25.52;20.39;38.57;29.45;0.0;1
41.71;25.78;41.78;30.71;13.66;20.87;14.73;19.49;35.97;16.07;19.62;15.15;35.92;12.81;25.32;20.41;44.85;26.56;41.96;33.75;33.85;17.35;10.2;22.95;13.92;31.77;16.86;32.54;44.31;14.75;32.87;37.31;29.22;33.56;19.62;49.57;33.18;32.16;23.39;33.04;58.13;30.73;33.32;34.83;40.0;25.28;45.52;21.53;32.12;37.65;47.02;55.97;11.82;43.46;37.91;24.12;41.38;0
72.07;40.49;73.73;69.4;34.01;44.65;58.63;42.92;31.88;35.04;53.47;70.13;52.8;21.6;22.68;49.67;56.37;47.82;56.21;55.08;52.14;56.26;53.67;46.88;45.85;84.26;54.52;51.92;59.17;36.86;35.95;48.05;22.4;34.51;40.46;41.78;49.87;27.28;45.8;31.0;49.15;44.46;51.62;33.08;45.44;31.77;41.21;26.21;53.67;12.25;37.29;40.48;40.89;34.88;39.81;35.58;46.87;1
41.98;31.57;27.43;31.94;18.66;27.67;39.83;11.1;28.83;12.45;6.51;8.62;30.65;33.8;31.55;12.76;30.55;17.53;40.61;23.11;17.63;7.22;33.79;24.0;25.01;29.8;11.86;36.73;13.64;19.18;58.53;20.4;35.61;53.0;32.9;16.84;38.04;34.01;46.69;42.61;38.36;27.17;44.33;31.01;31.7;21.36;40.29;35.55;37.46;10.12;32.4;32.91;29.61;14.26;41.49;30.81;14.16;0
82.55;49.27;58.78;74.15;39.18;43.75;64.68;29.64;59.82;38.77;55.07;61.72;77.0;42.75;59.59;44.9;42.96;42.5;64.05;43.01;67.77;73.85;41.93;44.76;48.6;57.82;45.03;63.66;65.21;34.54;53.55;35.07;29.59;37.69;25.81;25.21;38.21;19.99;32.32;26.18;45.89;18.06;21.33;41.4;47.01;10.09;20.94;19.28;33.97;42.31;23.47;47.12;41.12;34.12;41.75;22.82;36.75;1
75.8;34.44;58.38;53.5;46.81;58.19;57.16;37.68;35.17;45.92;40.55;56.96;77.38;50.78;58.85;41.29;84.14;44.28;53.47;54.63;59.01;66.84;39.87;70.05;56.08;69.95;55.8;66.23;82.11;27.06;51.37;20.95;20.79;50.85;20.97;42.59;49.92;29.06;22.88;29.02;47.7;19.21;24.66;39.93;47.55;36.77;31.35;28.97;42.58;4.61;31.75;38.76;25.82;20.62;42.06;26.53;59.07;1
70.21;30.62;32.68;48.8;39.0;39.73;52.43;45.38;41.06;48.7;33.09;45.73;72.41;45.41;40.45;29.92;78.34;34.39;64.7;53.84;62.15;43.55;47.88;42.59;40.8;61.96;78.62;67.16;61.3;16.9;60.19;48.15;36.9;57.61;41.91;37.22;26.5;36.07;14.56;37.86;35.64;24.99;26.77;43.06;2.39;18.66;24.16;18.77;45.38;32.11;25.59;41.6;20.6;21.51;36.75;28.03;40.64;1
31.4;22.92;23.41;26.82;19.88;25.98;36.74;32.85;22.13;15.27;15.64;25.38;35.38;27.38;33.2;21.38;33.4;33.25;33.57;24.64;36.2;16.64;12.83;14.12;11.66;30.57;18.85;33.48;27.85;26.72;62.6;42.33;27.66;19.73;30.55;41.51;33.93;40.3;25.4;50.06;25.12;27.09;39.54;33.97;64.21;39.43;24.93;33.44;34.27;24.56;31.69;50.12;30.23;33.04;34.81;43.53;27.49;0
25.96;19.09;33.99;38.09;22.83;28.98;37.86;19.18;29.43;33.57;16.4;32.94;33.13;25.79;24.76;5.03;35.97;24.09;32.95;24.5;29.34;15.42;12.45;24.23;18.79;20.04;33.79;39.27;39.02;20.75;45.6;23.77;31.98;33.54;20.08;17.73;41.58;34.75;37.29;38.06;57.91;42.86;44.57;37.4;60.73;16.44;22.57;24.01;45.24;33.22;29.62;49.6;40.17;26.66;48.17;36.55;48.4;0
63.54;41.32;68.66;24.94;63.98;58.07;55.56;41.79;62.95;56.22;62.94;60.57;71.6;41.14;45.76;44.22;50.46;37.17;58.67;52.81;46.59;72.89;48.99;34.25;54.29;66.37;65.76;69.28;80.73;38.4;71.62;27.36;16.85;32.54;49.21;45.69;35.51;22.24;28.89;34.29;41.63;32.39;39.35;37.85;41.53;45.66;38.65;25.68;49.8;39.31;33.68;31.0;17.54;41.17;38.78;28.72;26.18;1
29.21;29.56;45.83;46.3;30.26;22.23;7.33;15.23;13.77;21.79;21.58;17.89;31.12;30.96;23.2;17.66;47.27;23.94;30.39;31.02;35.28;30.02;8.34;24.91;28.68;33.99;26.28;30.36;21.61;39.26;74.82;24.69;0.0;35.24;36.78;37.33;39.3;25.84;45.01;31.07;51.18;30.97;45.85;29.74;28.87;39.42;14.1;17.35;49.43;22.3;32.16;27.77;24.22;19.16;43.92;26.51;4.3;0
20.05;21.18;49.45;33.57;10.08;22.03;29.13;18.43;41.27;29.73;24.95;36.3;26.07;42.19;0.0;19.03;44.54;30.49;39.8;18.68;43.44;29.55;0.0;23.36;24.54;38.43;29.33;32.02;32.37;44.75;40.85;49.01;28.96;35.72;45.51;22.48;38.83;35.39;42.9;13.46;52.85;37.73;55.86;32.65;51.26;45.21;17.6;41.57;40.38;20.84;33.54;56.4;16.67;34.55;42.91;24.37;13.08;0
85.83;53.93;57.96;57.58;39.87;44.67;53.57;32.45;55.45;37.26;57.35;46.59;51.66;39.75;47.03;40.4;50.0;39.91;48.3;37.13;46.54;35.99;26.89;46.31;52.53;78.21;67.08;65.49;50.23;34.93;51.09;22.19;6.99;35.69;60.42;39.39;37.25;33.34;35.25;21.11;32.05;17.49;27.19;42.51;50.87;43.17;23.53;34.08;42.61;33.17;32.85;53.18;2.47;22.5;46.29;19.28;86.65;1
66.26;38.29;54.48;58.7;57.16;58.73;55.75;45.08;46.52;37.7;65.93;31.71;69.54;55.64;39.61;33.94;66.92;31.0;66.63;54.58;54.94;67.64;44.14;67.8;54.39;46.7;69.97;68.71;54.55;27.5;36.03;40.01;41.57;59.29;42.74;25.1;35.76;40.88;38.02;28.51;41.42;34.33;38.03;30.93;45.81;37.25;29.95;11.75;32.57;35.63;36.51;27.79;65.02;28.73;33.16;32.52;44.72;1
86.24;39.63;58.26;48.58;63.68;43.66;52.89;52.66;46.06;44.71;42.59;59.4;74.18;52.3;39.64;40.43;72.47;31.11;62.21;39.58;53.88;46.5;53.78;32.79;58.48;71.25;36.72;67.13;74.09;29.08;54.51;44.25;21.16;46.98;36.25;33.23;43.78;45.32;22.66;43.34;29.18;40.57;30.18;41.38;47.54;13.66;45.21;38.2;36.96;40.21;30.13;52.73;40.94;23.9;32.61;12.7;49.4;1
43.68;54.02;49.86;65.26;60.6;46.16;51.13;23.36;53.36;47.61;56.39;45.05;73.94;45.43;33.75;48.84;45.26;55.17;64.2;39.84;69.01;64.06;47.89;47.02;37.56;67.78;54.46;49.91;51.59;21.5;28.17;23.76;9.35;46.52;30.57;41.04;30.44;34.61;31.75;15.25;11.52;39.78;31.13;34.33;53.38;24.09;32.41;19.16;57.98;30.83;21.82;47.44;24.96;29.27;35.86;22.22;86.24;1
69.65;51.26;69.31;52.59;39.49;63.28;48.06;48.74;51.31;31.9;44.53;39.45;80.99;33.56;34.69;36.71;61.14;41.36;46.13;46.31;40.98;53.55;16.05;42.78;42.94;67.71;80.18;71.83;59.89;17.74;32.76;41.03;18.0;63.79;44.32;30.61;27.76;26.13;47.36;28.65;30.39;27.36;19.25;33.73;45.99;32.64;37.6;18.6;33.11;22.83;32.01;38.17;28.28;20.09;34.3;14.6;25.92;1
49.32;24.18;29.02;52.69;28.94;15.21;20.34;21.36;38.05;14.69;26.09;60.89;27.61;31.84;25.99;24.54;33.14;19.7;38.11;28.85;27.66;40.27;9.19;31.65;35.94;32.98;26.11;25.66;23.78;14.54;45.68;15.07;24.96;12.83;48.77;27.84;32.35;41.32;41.87;10.6;64.63;34.93;35.75;35.99;50.85;55.41;25.24;43.63;24.0;36.34;42.93;30.61;17.78;13.1;22.87;25.92;44.56;0
57.37;13.74;66.62;30.71;53.04;55.54;56.96;53.43;69.54;29.86;41.65;37.77;45.26;44.13;27.34;42.73;63.55;52.41;54.89;53.27;64.45;43.29;31.41;36.24;48.09;65.52;70.8;59.07;54.89;30.82;50.77;38.36;40.76;44.84;54.87;28.64;32.54;23.62;38.97;27.99;33.58;23.49;45.6;41.75;53.92;38.09;46.15;40.84;50.29;30.97;31.98;43.32;14.91;43.84;29.97;33.61;24.55;1
37.03;0.0;33.99;17.18;14.8;21.79;21.47;12.37;32.02;41.09;10.95;23.73;38.19;40.65;19.38;17.56;26.44;25.44;39.96;28.09;22.95;31.95;28.01;21.56;22.9;35.17;26.32;26.04;28.05;18.72;35.62;34.38;43.02;29.16;10.98;51.78;31.94;28.98;42.24;17.99;46.8;17.98;43.94;40.22;37.49;27.78;16.84;19.39;35.9;26.51;28.12;46.88;24.85;21.7;48.69;21.15;17.66;0
66.09;49.28;59.11;55.44;72.92;48.93;64.09;33.5;69.85;21.13;20.32;59.94;78.9;38.9;50.3;48.19;51.83;49.32;57.47;58.18;53.89;63.09;25.53;76.15;37.44;68.38;76.86;61.77;72.32;48.43;23.68;21.49;27.09;34.97;44.11;3.23;29.37;33.15;32.26;27.3;33.93;38.62;33.76;33.64;38.33;26.7;21.49;16.27;42.4;10.19;34.92;44.78;5.41;36.28;36.35;30.29;54.85;1
31.96;24.05;38.85;34.49;30.91;31.6;11.61;33.45;29.81;27.98;12.97;33.25;31.82;20.19;43.59;30.74;32.38;29.15;39.85;27.38;29.92;26.51;20.31;21.44;26.17;41.41;23.33;21.52;35.01;25.45;58.15;31.61;18.13;39.19;44.72;33.29;41.05;32.2;21.81;9.5;61.24;31.31;56.12;32.28;35.97;39.09;32.09;21.74;27.79;39.38;34.89;43.1;21.74;21.21;27.08;32.05;15.5;0
69.15;37.52;64.71;62.22;51.59;51.9;67.11;30.69;51.78;40.07;41.34;53.67;62.43;57.22;53.66;43.61;60.27;52.38;56.67;61.05;46.59;44.85;11.25;69.77;50.45;61.76;46.67;67.01;70.98;40.46;39.01;14.17;32.68;26.81;67.5;24.66;42.66;34.4;34.43;18.0;15.89;21.91;27.36;31.01;19.01;17.44;20.7;16.04;39.96;18.79;43.18;59.81;23.61;10.16;19.45;48.64;65.07;1
29.65;18.55;39.31;28.92;29.28;21.21;35.33;24.09;31.86;19.44;28.1;23.05;24.25;48.53;18.11;21.24;25.38;27.04;42.72;8.83;35.99;22.64;30.55;25.49;28.96;21.2;21.77;29.16;35.33;16.07;46.84;40.1;20.37;26.13;43.18;19.97;39.76;34.65;29.8;36.31;38.06;35.46;30.84;42.7;45.26;37.31;39.86;22.56;42.37;47.21;33.56;41.83;16.41;24.23;43.94;35.46;42.55;0
38.61;0.0;36.38;23.41;19.13;16.6;21.32;13.22;28.21;21.87;25.48;0.0;41.36;39.67;34.58;19.94;30.47;34.88;38.34;21.25;43.88;24.09;36.23;26.87;30.26;22.06;11.82;41.65;32.82;26.65;41.64;14.04;42.63;42.88;22.6;29.37;41.19;30.72;23.15;26.1;57.61;47.83;19.27;38.7;48.55;35.86;20.55;33.56;43.54;44.92;21.44;28.85;0.59;22.75;31.54;29.22;10.21;0
82.16;37.79;59.04;56.75;65.04;41.06;52.21;5.07;47.56;38.97;45.77;51.26;83.55;57.18;49.16;40.2;68.31;62.0;55.97;56.78;57.73;28.16;17.07;45.73;49.67;59.06;22.61;63.0;52.57;45.82;60.35;40.97;14.07;49.19;33.98;9.61;42.81;28.76;57.68;28.44;36.11;9.59;48.96;39.13;26.26;38.72;26.92;10.81;49.93;44.74;36.34;33.79;49.28;34.45;27.67;33.22;40.95;1
